Type avion,Compagnie,Nombre de mouvements réalisés,Nombre de vol atterris décollés,Nombre de passagers max réalisés,Nombre de passagers réalisés moyen
32S,NORWEGIAN.NO,394,394,182,152.44162436548223
32S,NOUVEL AIR TUNISIE,12554,12554,221,146.5717699537996
32S,NOVAIR,4,4,200,100.0
32S,OLYMPIC AIRLINES SA,4,4,99,50.75
32S,ONUR AIR TASIMACILIK,5416,5416,222,157.07533234859676
32S,ORANGE2FLY AIRLINES,2,2,178,89.0
32S,PEGASUS AIRLINES,3164,3164,186,156.4680783817952
32S,PJSC AEROFLOT,12610,12610,293,122.05360824742269
32S,PRESIDENCE DE LA REP,30,30,40,3.1666666666666665
32S,PRIMERA AIR,290,290,220,160.50689655172414
32S,PRIMERA AIR NORDIC,5,5,172,97.8
32S,PRIVILEGE STYLE,4,4,144,57.0
32S,QATAR AMIRI FLIGHT,41,41,30,6.170731707317073
32S,QATAR EXECUTIVE,16,16,31,13.75
32S,ROSSIYA,3004,3004,178,103.83555259653795
32S,ROYAL AIR MAROC,1500,1500,198,122.92
32S,ROYAL JORDANIAN,4830,4830,220,87.36894409937888
32S,SATA INTERNACIONAL,348,348,165,99.04310344827586
32S,SAUDIA,1546,1546,180,93.59055627425614
32S,SCANDINAVIAN,12868,12868,202,126.75435188063413
32S,SENEGAL AIRLINES,1,1,0,0.0
32S,SILK WAY BUSINESS,6,6,11,5.333333333333333
32S,SKY AIRLINES,40,40,219,156.95
32S,SKY PRIME AVIATION S,2,2,0,0.0
32S,SLOVAK GOVERNMENT FL,12,12,58,4.833333333333333
32S,SMALL PLANET,2,2,0,0.0
32S,SMALL PLANET AIR,1344,1344,220,137.26116071428572
32S,SMALL PLANET AIRLINE,1461,1461,182,128.56947296372348
32S,SMALL PLANET GERMANY,40,40,179,31.825
32S,SMARTLYNX AIRLINES,271,271,206,113.32841328413284
32S,SMARTLYNX ESTONIA,127,127,180,71.37795275590551
32S,SMARTWINGS,2,2,136,68.5
32S,SPECIAL FLIGHT DET,4,4,0,0.0
32S,STRATEGIC AIRLINES,2,2,108,54.0
32S,SUN EXPRESS GERMANY,1,1,0,0.0
32S,SUNDAIR GMBH,12,12,174,72.33333333333333
32S,SWISS INTL AIR LINES,17515,17515,217,115.51732800456752
32S,SYPHAX AIRLINES,4008,4008,208,102.00848303393214
32S,SYRIAN ARAB AIRLINES,120,120,147,47.8
32S,TACV,21,21,180,87.0
32S,TAP PORTUGAL,50803,50803,217,113.2341397161585
32S,TAROM,4512,4512,253,81.83045212765957
32S,THOMAS COOK AIRLINES,28,28,212,76.75
32S,THOMAS COOK BELGIUM,92,92,179,72.80434782608695
32S,THOMAS COOK SCANDINA,10,10,195,66.9
32S,TITAN AIRWAYS LTD,33,33,220,92.54545454545455
32S,TRADE AIR D.O.O.,9,9,180,79.11111111111111
32S,TRANSAERO AIRLINES,18,18,183,129.77777777777777
32S,TRANSAVIA HOLLAND BV,2,2,0,0.0
32S,TRANSAVIA.COM,9201,9201,197,145.53537658950114
32S,TRAVEL SERVICE,528,528,183,98.45643939393939
32S,TUI FLY BELGIUM,30,30,189,95.9
32S,TUIFLY NORDIC AB,2,2,0,0.0
32S,TUNIS AIR,27558,27558,220,112.67501270048625
32S,TUNISAIR EXPRESS,68,68,164,68.19117647058823
32S,TURK HAVA YOLLARI,11027,11027,194,141.71143556724402
32S,TYROLEAN JET SERVICE,2,2,7,3.5
32S,UKRAINE,10,10,32,6.4
32S,UKRAINE INTL AIRLINE,2,2,177,133.5
32S,URAL AIRLINES,420,420,167,121.98333333333333
32S,UZBEKISTAN AIRWAYS,30,30,134,75.23333333333333
32S,VIETJET AVIATION J.S,4,4,0,0.0
32S,VLADIVOSTOK AIR,5,5,0,0.0
32S,VLM AIRLINES NV,6,6,176,75.33333333333333
32S,VOLOTEA,77,77,150,64.88311688311688
32S,VUELING AIRLINES SA,149699,149699,238,144.15320743625543
32S,WATANIYA AIRWAYS,1,1,0,0.0
32S,WHITE S.A,489,489,182,127.15746421267893
32S,WIND JET SPA,294,294,180,119.82993197278911
